external_id,session_date,distance_km,pace_sec_per_km,resting_hr,fatigue_level,notes
SYN0006,2026-01-17,10.96,4:41,63,1,SYNTHETIC training record
SYN0006,2026-01-19,11.99,4:45,61,3,SYNTHETIC training record
SYN0006,2026-01-21,17.13,4:49,73,1,SYNTHETIC training record
SYN0006,2026-01-24,9.8,4:56,50,4,SYNTHETIC training record
SYN0006,2026-01-26,12.95,5:00,70,5,SYNTHETIC training record
SYN0006,2026-01-28,13.68,4:41,62,3,SYNTHETIC training record
SYN0006,2026-01-31,17.21,4:47,49,3,SYNTHETIC training record
SYN0007,2026-01-05,14.33,5:00,51,3,SYNTHETIC training record
SYN0007,2026-01-07,11.35,5:19,73,1,SYNTHETIC training record
SYN0007,2026-01-10,13.25,4:52,71,3,SYNTHETIC training record
SYN0007,2026-01-12,5.05,4:49,69,2,SYNTHETIC training record
SYN0007,2026-01-14,7.1,5:03,59,5,SYNTHETIC training record
SYN0007,2026-01-17,12.29,5:14,48,1,SYNTHETIC training record
SYN0007,2026-01-19,12.09,4:56,71,3,SYNTHETIC training record
SYN0007,2026-01-21,10.59,4:56,46,3,SYNTHETIC training record
SYN0007,2026-01-24,16.69,5:10,70,1,SYNTHETIC training record
SYN0007,2026-01-26,7.73,5:09,52,1,SYNTHETIC training record
SYN0007,2026-01-28,15.14,5:09,73,4,SYNTHETIC training record
SYN0007,2026-01-31,17.03,4:56,52,2,SYNTHETIC training record
SYN0008,2026-01-05,15.17,6:58,58,2,SYNTHETIC training record
SYN0008,2026-01-07,7.07,6:54,67,1,SYNTHETIC training record
SYN0008,2026-01-10,16.34,7:01,72,4,SYNTHETIC training record
SYN0008,2026-01-12,7.59,6:51,74,4,SYNTHETIC training record
SYN0008,2026-01-14,8.97,6:59,70,2,SYNTHETIC training record
SYN0008,2026-01-17,5.31,6:51,51,4,SYNTHETIC training record
SYN0008,2026-01-19,8.62,6:58,47,3,SYNTHETIC training record
SYN0008,2026-01-21,13.34,6:59,57,5,SYNTHETIC training record
SYN0008,2026-01-24,17.21,6:58,48,3,SYNTHETIC training record
SYN0008,2026-01-26,12.55,6:48,53,1,SYNTHETIC training record
SYN0008,2026-01-28,12.76,6:43,56,3,SYNTHETIC training record
SYN0008,2026-01-31,12.88,7:04,61,1,SYNTHETIC training record
SYN0009,2026-01-05,9.73,5:34,47,3,SYNTHETIC training record
SYN0009,2026-01-07,13.62,5:42,48,3,SYNTHETIC training record
SYN0009,2026-01-10,9.02,5:54,58,3,SYNTHETIC training record
SYN0009,2026-01-12,14.06,5:47,62,2,SYNTHETIC training record
SYN0009,2026-01-14,10.47,5:34,75,4,SYNTHETIC training record
SYN0009,2026-01-17,13.0,5:33,54,4,SYNTHETIC training record
SYN0009,2026-01-19,8.95,5:22,51,4,SYNTHETIC training record
SYN0009,2026-01-21,11.04,5:42,59,2,SYNTHETIC training record
SYN0009,2026-01-24,11.15,5:54,73,2,SYNTHETIC training record
SYN0009,2026-01-26,8.69,5:27,66,5,SYNTHETIC training record
SYN0009,2026-01-28,6.21,5:43,75,2,SYNTHETIC training record
SYN0009,2026-01-31,7.92,5:41,51,2,SYNTHETIC training record
SYN0010,2026-01-05,14.34,4:48,57,4,SYNTHETIC training record
SYN0010,2026-01-07,8.17,5:01,65,1,SYNTHETIC training record
SYN0010,2026-01-10,15.12,4:42,52,2,SYNTHETIC training record
SYN0010,2026-01-12,5.65,5:05,52,1,SYNTHETIC training record
SYN0010,2026-01-14,6.73,5:05,59,5,SYNTHETIC training record
SYN0010,2026-01-17,17.35,4:56,73,4,SYNTHETIC training record
SYN0010,2026-01-19,10.55,5:08,74,5,SYNTHETIC training record
SYN0010,2026-01-21,16.66,5:04,68,4,SYNTHETIC training record
SYN0010,2026-01-24,8.37,5:04,52,3,SYNTHETIC training record
SYN0010,2026-01-26,13.15,5:07,53,4,SYNTHETIC training record
SYN0010,2026-01-28,14.28,4:40,52,3,SYNTHETIC training record
SYN0010,2026-01-31,9.16,4:57,62,1,SYNTHETIC training record
SYN0011,2026-01-05,10.3,5:16,62,4,SYNTHETIC training record
SYN0011,2026-01-07,5.81,5:16,71,4,SYNTHETIC training record
SYN0011,2026-01-10,16.76,5:14,63,1,SYNTHETIC training record
SYN0011,2026-01-12,11.2,5:14,75,3,SYNTHETIC training record
SYN0011,2026-01-14,14.8,5:09,72,4,SYNTHETIC training record
SYN0011,2026-01-17,11.35,5:04,53,4,SYNTHETIC training record
SYN0011,2026-01-19,5.38,5:21,55,4,SYNTHETIC training record
SYN0011,2026-01-21,15.93,5:00,74,2,SYNTHETIC training record
SYN0011,2026-01-24,16.79,4:51,63,5,SYNTHETIC training record
SYN0011,2026-01-26,6.09,4:51,58,2,SYNTHETIC training record
SYN0011,2026-01-28,7.36,5:19,53,4,SYNTHETIC training record
SYN0011,2026-01-31,7.75,5:10,55,3,SYNTHETIC training record
SYN0012,2026-01-05,14.74,6:11,46,3,SYNTHETIC training record
SYN0012,2026-01-07,13.45,6:24,69,1,SYNTHETIC training record
SYN0012,2026-01-10,17.34,6:11,51,1,SYNTHETIC training record
SYN0012,2026-01-12,8.1,6:19,60,1,SYNTHETIC training record
SYN0012,2026-01-14,11.05,6:23,53,3,SYNTHETIC training record
SYN0012,2026-01-17,12.88,6:20,75,1,SYNTHETIC training record
SYN0012,2026-01-19,17.54,6:20,48,5,SYNTHETIC training record
SYN0012,2026-01-21,17.08,6:11,63,4,SYNTHETIC training record
SYN0012,2026-01-24,17.24,6:35,51,1,SYNTHETIC training record
SYN0012,2026-01-26,6.32,6:25,69,3,SYNTHETIC training record
SYN0012,2026-01-28,15.35,6:17,63,1,SYNTHETIC training record
SYN0012,2026-01-31,11.93,6:32,66,3,SYNTHETIC training record
SYN0013,2026-01-05,6.37,5:12,75,3,SYNTHETIC training record
SYN0013,2026-01-07,14.2,5:10,58,2,SYNTHETIC training record
SYN0013,2026-01-10,13.01,4:58,74,5,SYNTHETIC training record
SYN0013,2026-01-12,11.04,5:11,71,5,SYNTHETIC training record
SYN0013,2026-01-14,9.19,4:58,52,1,SYNTHETIC training record
SYN0013,2026-01-17,16.46,4:58,52,4,SYNTHETIC training record
SYN0013,2026-01-19,9.37,5:05,60,3,SYNTHETIC training record
SYN0013,2026-01-21,11.34,4:52,56,3,SYNTHETIC training record
SYN0013,2026-01-24,8.64,5:02,64,3,SYNTHETIC training record
SYN0013,2026-01-26,11.72,4:41,51,1,SYNTHETIC training record
SYN0013,2026-01-28,14.36,4:56,60,5,SYNTHETIC training record
SYN0013,2026-01-31,13.98,4:56,65,4,SYNTHETIC training record
SYN0014,2026-01-05,8.98,5:45,63,3,SYNTHETIC training record
SYN0014,2026-01-07,12.2,6:00,56,4,SYNTHETIC training record
SYN0014,2026-01-10,9.57,5:51,59,3,SYNTHETIC training record
SYN0014,2026-01-12,8.27,5:49,48,2,SYNTHETIC training record
SYN0014,2026-01-14,6.55,5:50,62,2,SYNTHETIC training record
SYN0014,2026-01-17,7.81,5:42,60,3,SYNTHETIC training record
SYN0014,2026-01-19,17.75,5:48,71,2,SYNTHETIC training record
SYN0014,2026-01-21,7.96,5:48,50,3,SYNTHETIC training record
SYN0014,2026-01-24,14.2,5:30,49,3,SYNTHETIC training record
SYN0014,2026-01-26,17.67,5:32,62,3,SYNTHETIC training record
SYN0014,2026-01-28,13.29,5:38,69,4,SYNTHETIC training record
SYN0014,2026-01-31,16.35,5:36,63,3,SYNTHETIC training record
SYN0015,2026-01-05,6.48,6:03,47,4,SYNTHETIC training record
SYN0015,2026-01-07,5.96,6:04,65,1,SYNTHETIC training record
SYN0015,2026-01-10,6.94,5:42,63,3,SYNTHETIC training record
SYN0015,2026-01-12,17.92,5:38,48,5,SYNTHETIC training record
SYN0015,2026-01-14,12.88,5:59,70,5,SYNTHETIC training record
SYN0015,2026-01-17,15.08,5:47,57,4,SYNTHETIC training record
SYN0015,2026-01-19,8.87,6:01,63,4,SYNTHETIC training record
SYN0015,2026-01-21,12.39,5:52,46,5,SYNTHETIC training record
SYN0015,2026-01-24,17.32,5:39,51,2,SYNTHETIC training record
SYN0015,2026-01-26,13.59,5:49,50,2,SYNTHETIC training record
SYN0015,2026-01-28,12.18,5:44,50,1,SYNTHETIC training record
SYN0015,2026-01-31,10.86,5:59,64,4,SYNTHETIC training record
SYN0016,2026-01-05,13.94,5:14,74,3,SYNTHETIC training record
SYN0016,2026-01-07,10.53,5:22,62,2,SYNTHETIC training record
SYN0016,2026-01-10,16.81,5:19,71,2,SYNTHETIC training record
SYN0016,2026-01-12,5.78,5:14,70,3,SYNTHETIC training record
SYN0016,2026-01-14,10.71,5:28,59,3,SYNTHETIC training record
SYN0016,2026-01-17,17.25,5:35,61,5,SYNTHETIC training record
SYN0016,2026-01-19,10.69,5:41,64,1,SYNTHETIC training record
SYN0016,2026-01-21,14.55,5:37,64,3,SYNTHETIC training record
SYN0016,2026-01-24,6.19,5:11,75,5,SYNTHETIC training record
SYN0016,2026-01-26,17.99,5:11,66,3,SYNTHETIC training record
SYN0016,2026-01-28,14.92,5:12,50,4,SYNTHETIC training record
SYN0016,2026-01-31,16.91,5:38,50,5,SYNTHETIC training record
SYN0017,2026-01-05,9.17,5:49,48,2,SYNTHETIC training record
SYN0017,2026-01-07,10.35,5:49,60,3,SYNTHETIC training record
SYN0017,2026-01-10,15.58,5:53,62,1,SYNTHETIC training record
SYN0017,2026-01-12,6.14,5:57,53,3,SYNTHETIC training record
SYN0017,2026-01-14,17.61,5:35,57,5,SYNTHETIC training record
SYN0017,2026-01-17,13.55,5:28,62,4,SYNTHETIC training record
SYN0017,2026-01-19,5.7,5:54,61,3,SYNTHETIC training record
SYN0017,2026-01-21,13.13,5:59,69,1,SYNTHETIC training record
SYN0017,2026-01-24,8.47,5:41,49,3,SYNTHETIC training record
SYN0017,2026-01-26,16.45,5:56,60,1,SYNTHETIC training record
SYN0017,2026-01-28,17.65,5:29,64,2,SYNTHETIC training record
SYN0017,2026-01-31,9.04,5:38,45,5,SYNTHETIC training record
SYN0018,2026-01-05,11.48,5:34,67,3,SYNTHETIC training record
SYN0018,2026-01-07,14.17,5:57,58,4,SYNTHETIC training record
SYN0018,2026-01-10,8.17,5:55,62,2,SYNTHETIC training record
SYN0018,2026-01-12,7.48,5:49,64,5,SYNTHETIC training record
SYN0018,2026-01-14,16.23,5:33,53,4,SYNTHETIC training record
SYN0018,2026-01-17,17.15,5:46,61,3,SYNTHETIC training record
SYN0018,2026-01-19,8.68,5:25,54,5,SYNTHETIC training record
SYN0018,2026-01-21,16.25,5:56,59,5,SYNTHETIC training record
SYN0018,2026-01-24,9.49,5:55,62,5,SYNTHETIC training record
SYN0018,2026-01-26,10.92,5:49,55,2,SYNTHETIC training record
SYN0018,2026-01-28,12.43,5:40,52,4,SYNTHETIC training record
SYN0018,2026-01-31,9.14,5:27,60,4,SYNTHETIC training record
SYN0019,2026-01-05,17.55,5:54,55,1,SYNTHETIC training record
SYN0019,2026-01-07,6.3,5:50,74,4,SYNTHETIC training record
SYN0019,2026-01-10,14.39,5:22,58,2,SYNTHETIC training record
SYN0019,2026-01-12,11.1,5:26,53,3,SYNTHETIC training record
SYN0019,2026-01-14,13.45,5:47,72,3,SYNTHETIC training record
SYN0019,2026-01-17,17.4,5:46,65,4,SYNTHETIC training record
SYN0019,2026-01-19,13.03,5:24,52,3,SYNTHETIC training record
SYN0019,2026-01-21,14.71,5:36,58,1,SYNTHETIC training record
SYN0019,2026-01-24,10.77,5:28,67,3,SYNTHETIC training record
SYN0019,2026-01-26,5.6,5:23,70,1,SYNTHETIC training record
SYN0019,2026-01-28,9.66,5:40,58,2,SYNTHETIC training record
SYN0019,2026-01-31,11.91,5:37,63,2,SYNTHETIC training record
SYN0020,2026-01-05,8.02,5:03,65,3,SYNTHETIC training record
SYN0020,2026-01-07,8.32,5:23,45,4,SYNTHETIC training record
SYN0020,2026-01-10,13.81,5:12,50,1,SYNTHETIC training record
SYN0020,2026-01-12,17.29,5:22,63,3,SYNTHETIC training record
SYN0020,2026-01-14,13.97,5:21,59,3,SYNTHETIC training record
SYN0020,2026-01-17,17.99,5:06,72,4,SYNTHETIC training record
SYN0020,2026-01-19,8.08,5:00,63,3,SYNTHETIC training record
SYN0020,2026-01-21,17.9,5:12,54,1,SYNTHETIC training record
SYN0020,2026-01-24,8.57,5:19,63,1,SYNTHETIC training record
SYN0020,2026-01-26,15.83,5:25,73,3,SYNTHETIC training record
SYN0020,2026-01-28,12.89,5:08,56,2,SYNTHETIC training record
SYN0020,2026-01-31,13.07,5:06,66,2,SYNTHETIC training record
SYN0021,2026-01-05,14.52,6:16,47,3,SYNTHETIC training record
SYN0021,2026-01-07,14.72,6:13,50,2,SYNTHETIC training record
SYN0021,2026-01-10,15.22,6:01,73,3,SYNTHETIC training record
SYN0021,2026-01-12,16.88,6:25,71,2,SYNTHETIC training record
SYN0021,2026-01-14,16.88,6:09,75,4,SYNTHETIC training record
SYN0021,2026-01-17,14.71,6:11,55,1,SYNTHETIC training record
SYN0021,2026-01-19,17.52,6:22,49,2,SYNTHETIC training record
SYN0021,2026-01-21,17.57,6:18,70,5,SYNTHETIC training record
SYN0021,2026-01-24,6.17,6:16,57,1,SYNTHETIC training record
SYN0021,2026-01-26,11.98,6:09,59,3,SYNTHETIC training record
SYN0021,2026-01-28,12.6,6:09,71,3,SYNTHETIC training record
SYN0021,2026-01-31,13.77,5:59,60,1,SYNTHETIC training record
SYN0022,2026-01-05,13.44,6:11,48,2,SYNTHETIC training record
SYN0022,2026-01-07,17.3,5:54,54,4,SYNTHETIC training record
SYN0022,2026-01-10,6.26,5:59,73,5,SYNTHETIC training record
SYN0022,2026-01-12,10.05,6:00,56,5,SYNTHETIC training record
SYN0022,2026-01-14,12.64,6:18,68,2,SYNTHETIC training record
SYN0022,2026-01-17,13.51,6:18,71,4,SYNTHETIC training record
SYN0022,2026-01-19,17.21,6:18,53,1,SYNTHETIC training record
SYN0022,2026-01-21,7.82,6:15,59,2,SYNTHETIC training record
SYN0022,2026-01-24,6.29,6:15,66,3,SYNTHETIC training record
SYN0022,2026-01-26,5.79,6:14,53,2,SYNTHETIC training record
SYN0022,2026-01-28,17.34,5:59,71,4,SYNTHETIC training record
SYN0022,2026-01-31,13.62,5:57,65,5,SYNTHETIC training record
SYN0023,2026-01-05,5.89,6:50,69,5,SYNTHETIC training record
SYN0023,2026-01-07,12.62,6:50,71,2,SYNTHETIC training record
SYN0023,2026-01-10,15.07,6:58,70,5,SYNTHETIC training record
SYN0023,2026-01-12,8.6,6:37,49,2,SYNTHETIC training record
SYN0023,2026-01-14,15.38,6:53,48,1,SYNTHETIC training record
SYN0023,2026-01-17,5.19,6:45,70,2,SYNTHETIC training record
SYN0023,2026-01-19,5.21,6:57,53,1,SYNTHETIC training record
SYN0023,2026-01-21,14.64,6:45,61,1,SYNTHETIC training record
SYN0023,2026-01-24,11.19,6:41,69,3,SYNTHETIC training record
SYN0023,2026-01-26,12.72,7:09,59,5,SYNTHETIC training record
SYN0023,2026-01-28,17.29,6:51,46,5,SYNTHETIC training record
SYN0023,2026-01-31,10.95,6:56,75,1,SYNTHETIC training record
SYN0024,2026-01-05,5.96,5:08,47,3,SYNTHETIC training record
SYN0024,2026-01-07,5.85,4:49,53,5,SYNTHETIC training record
SYN0024,2026-01-10,9.95,5:00,64,5,SYNTHETIC training record
SYN0024,2026-01-12,10.9,4:58,64,4,SYNTHETIC training record
SYN0024,2026-01-14,15.31,4:46,48,5,SYNTHETIC training record
SYN0024,2026-01-17,10.59,4:53,73,2,SYNTHETIC training record
SYN0024,2026-01-19,9.41,5:06,59,4,SYNTHETIC training record
SYN0024,2026-01-21,14.48,5:06,55,4,SYNTHETIC training record
SYN0024,2026-01-24,13.65,5:00,56,2,SYNTHETIC training record
SYN0024,2026-01-26,5.87,5:10,71,1,SYNTHETIC training record
SYN0024,2026-01-28,10.61,4:45,68,3,SYNTHETIC training record
SYN0024,2026-01-31,12.23,4:48,63,5,SYNTHETIC training record
SYN0025,2026-01-05,16.29,6:11,68,1,SYNTHETIC training record
SYN0025,2026-01-07,12.81,6:02,56,1,SYNTHETIC training record
SYN0025,2026-01-10,7.77,6:16,66,4,SYNTHETIC training record
SYN0025,2026-01-12,16.01,5:58,56,5,SYNTHETIC training record
SYN0025,2026-01-14,6.49,6:07,53,5,SYNTHETIC training record
SYN0025,2026-01-17,15.49,5:58,72,5,SYNTHETIC training record
SYN0025,2026-01-19,12.92,5:45,66,3,SYNTHETIC training record
SYN0025,2026-01-21,7.35,5:45,67,3,SYNTHETIC training record
SYN0025,2026-01-24,9.56,6:05,50,2,SYNTHETIC training record
SYN0025,2026-01-26,5.9,6:09,68,1,SYNTHETIC training record
SYN0025,2026-01-28,14.7,5:49,51,4,SYNTHETIC training record
SYN0025,2026-01-31,10.9,6:10,50,3,SYNTHETIC training record
SYN0026,2026-01-05,13.76,5:15,53,4,SYNTHETIC training record
SYN0026,2026-01-07,11.31,5:39,59,4,SYNTHETIC training record
SYN0026,2026-01-10,7.8,5:29,61,1,SYNTHETIC training record
SYN0026,2026-01-12,10.59,5:34,54,5,SYNTHETIC training record
SYN0026,2026-01-14,11.85,5:43,54,1,SYNTHETIC training record
SYN0026,2026-01-17,10.14,5:26,64,1,SYNTHETIC training record
SYN0026,2026-01-19,7.66,5:12,75,2,SYNTHETIC training record
SYN0026,2026-01-21,14.93,5:20,54,3,SYNTHETIC training record
SYN0026,2026-01-24,5.1,5:19,68,4,SYNTHETIC training record
SYN0026,2026-01-26,6.68,5:23,62,2,SYNTHETIC training record
SYN0026,2026-01-28,12.26,5:44,66,3,SYNTHETIC training record
SYN0026,2026-01-31,10.16,5:16,68,1,SYNTHETIC training record
SYN0027,2026-01-05,14.22,5:53,58,3,SYNTHETIC training record
SYN0027,2026-01-07,10.27,5:35,75,3,SYNTHETIC training record
SYN0027,2026-01-10,15.42,5:38,64,4,SYNTHETIC training record
SYN0027,2026-01-12,6.15,5:51,72,1,SYNTHETIC training record
SYN0027,2026-01-14,10.66,5:43,57,5,SYNTHETIC training record
SYN0027,2026-01-17,10.14,5:33,54,3,SYNTHETIC training record
SYN0027,2026-01-19,9.33,5:42,50,1,SYNTHETIC training record
SYN0027,2026-01-21,13.23,6:00,61,5,SYNTHETIC training record
SYN0027,2026-01-24,16.78,5:40,56,3,SYNTHETIC training record
SYN0027,2026-01-26,8.07,5:37,49,3,SYNTHETIC training record
SYN0027,2026-01-28,7.26,5:40,49,1,SYNTHETIC training record
SYN0027,2026-01-31,17.37,5:39,65,4,SYNTHETIC training record
SYN0028,2026-01-05,6.96,5:52,47,4,SYNTHETIC training record
SYN0028,2026-01-07,13.21,6:00,70,3,SYNTHETIC training record
SYN0028,2026-01-10,9.58,5:35,47,3,SYNTHETIC training record
SYN0028,2026-01-12,10.87,6:01,46,3,SYNTHETIC training record
SYN0028,2026-01-14,6.0,5:50,72,1,SYNTHETIC training record
SYN0028,2026-01-17,10.0,6:04,63,5,SYNTHETIC training record
SYN0028,2026-01-19,10.85,5:34,70,5,SYNTHETIC training record
SYN0028,2026-01-21,9.18,5:44,60,5,SYNTHETIC training record
SYN0028,2026-01-24,17.45,5:41,59,1,SYNTHETIC training record
SYN0028,2026-01-26,17.77,5:53,47,5,SYNTHETIC training record
SYN0028,2026-01-28,5.51,5:43,67,4,SYNTHETIC training record
SYN0028,2026-01-31,11.81,6:00,64,2,SYNTHETIC training record
SYN0029,2026-01-05,15.26,5:22,65,3,SYNTHETIC training record
SYN0029,2026-01-07,9.29,5:23,62,4,SYNTHETIC training record
SYN0029,2026-01-10,8.28,5:37,72,5,SYNTHETIC training record
SYN0029,2026-01-12,9.33,5:28,63,2,SYNTHETIC training record
SYN0029,2026-01-14,9.03,5:41,65,4,SYNTHETIC training record
SYN0029,2026-01-17,12.74,5:27,75,1,SYNTHETIC training record
SYN0029,2026-01-19,12.27,5:38,65,3,SYNTHETIC training record
SYN0029,2026-01-21,13.71,5:27,71,5,SYNTHETIC training record
SYN0029,2026-01-24,13.4,5:24,58,5,SYNTHETIC training record
SYN0029,2026-01-26,5.24,5:42,54,2,SYNTHETIC training record
SYN0029,2026-01-28,9.44,5:32,69,4,SYNTHETIC training record
SYN0029,2026-01-31,7.95,5:31,49,2,SYNTHETIC training record
SYN0030,2026-01-05,13.61,4:44,73,5,SYNTHETIC training record
SYN0030,2026-01-07,12.76,4:50,49,2,SYNTHETIC training record
SYN0030,2026-01-10,15.81,4:53,69,5,SYNTHETIC training record
SYN0030,2026-01-12,14.38,4:52,46,4,SYNTHETIC training record
SYN0030,2026-01-14,13.79,5:05,52,4,SYNTHETIC training record
SYN0030,2026-01-17,14.78,5:00,70,4,SYNTHETIC training record
SYN0030,2026-01-19,11.94,4:56,54,4,SYNTHETIC training record
SYN0030,2026-01-21,9.78,4:54,75,5,SYNTHETIC training record
SYN0030,2026-01-24,11.0,5:10,54,4,SYNTHETIC training record
SYN0030,2026-01-26,11.86,5:14,75,2,SYNTHETIC training record
SYN0030,2026-01-28,15.42,4:54,49,3,SYNTHETIC training record
SYN0030,2026-01-31,13.34,4:45,72,3,SYNTHETIC training record
